,Subject,Domain,Sub Domain,Standard,Cluster,Lesson Taught
104,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Use the .info method of your DataFrame to display basic information about your dataframe data such as the index dtype and column dtypes, non-null values and memory usage. i.e., your_df.info()",Explore the data of your DataFrame using a variety of methods.,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Exploring Your Data
"
105,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Generate descriptive statistics about your DataFrame that summarize the central tendency, dispersion and shape of a dataset’s distribution, excluding NaN values ,by using the .describe() method of your dataframe. i.e, your_df.describe()",Explore the data of your DataFrame using a variety of methods.,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Exploring Your Data
"
106,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Identify the column names of your Dataframe by accessing the .columns property of your DataFrame. i.e., your_df.columns",Explore the data of your DataFrame using a variety of methods.,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Exploring Your Data
"
107,Data Science,Data Analysis,Pandas for working with data structures and data analysis (Python),"Generate a correlation matrix of the columns in your DataFrame using the .corr() method of every dataframe. i.e., your_df.corr()",Explore the data of your DataFrame using a variety of methods.,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Exploring Your Data
Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Understanding Our Data Through Visualization
"
108,Data Science,Linear Algebra,Vectors,"Memorize the data science definition of vector, ""an ordered set of real numbers, each denoting a distance on a coordinate axis.""",Distinguish the data science definition of vector from the mathematical definition of vector.,"Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Arrays
"
109,Data Science,Linear Algebra,Vectors,"Memorize the mathematical definition of vector, ""a mathematical expression denoting a combination of magnitude and direction.""",Distinguish the data science definition of vector from the mathematical definition of vector.,"Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Arrays
"
110,Data Science,Linear Algebra,Vectors,"Model a series of numerical information using a vector, i.e., the grades of a particular student in their Math class [84, 100, 100, 76, 95].","Recognize that vectors are 1D data structures used to represent information about an entity being modeled i.e., a list of grades, details about an event or person, etc.","Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Arrays
"
111,Data Science,Linear Algebra,Vectors,"Model a series of text data using a vector, i.e., a series of Exam Names [""Ratios Exam"", ""Proportions Exam"", ""Expressions Exam"", ""Equations Exam"", ""Final Exam""]","Recognize that vectors are 1D data structures used to represent information about an entity being modeled i.e., a list of grades, details about an event or person, etc.","Course: Intro to Data Analysis, Unit: Intro To Numpy, Lesson: Numpy Arrays
"
112,Machine Learning,Machine Learning with Python Libraries,Sci-Kit Learn,"Import and instantiate a Machine Learning classifiers from sklearn. i.e., from sklearn.linear_model import LinearRegression; lm = LinearRegression() ",Use Sci Kit Learn to train machine learning models,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Training a Linear Regression Model
"
113,Machine Learning,Machine Learning with Python Libraries,Sci-Kit Learn,"Import the train_test_split function  from sklearn.model_selection, i.e., from sklearn.model_selection import train_test_split",Use Sci Kit Learn to train machine learning models,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Training a Linear Regression Model
"
114,Machine Learning,Machine Learning with Python Libraries,Sci-Kit Learn,"Create a train-test-split of your dataset by using the train_test_split() function from the sklearn.model_selection library. i.e., X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.4, random_state=101)",Use Sci Kit Learn to train machine learning models,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Training a Linear Regression Model
"
115,Machine Learning,Machine Learning with Python Libraries,Sci-Kit Learn,"Train your model using the .fit() method of your classifier and passing it a matrix of training predictors and a vector of training targets. i.e., lm.fit(X_train,y_train)",Use Sci Kit Learn to train machine learning models,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Training a Linear Regression Model
"
116,Machine Learning,Machine Learning with Python Libraries,Sci-Kit Learn,"Use the coef_ attribute of your classifier to create a DataFrame of your features coefficients. i.e., pd.DataFrame(lm.coef_,X.columns,columns=['Coefficient']),",Use Sci Kit Learn to train machine learning models,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Model Evaluation
"
117,Machine Learning,Machine Learning with Python Libraries,Sci-Kit Learn,"Evaluate the Mean Squared Error of your trained machine learning model by importing and using the metrics module. i.e., from sklearn import metrics; print('MSE:', metrics.mean_squared_error(y_test, predictions))",Use sklearn to Evaluate a trained machine learning model,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Model Evaluation
"
118,Machine Learning,Machine Learning with Python Libraries,Sci-Kit Learn,"Analyze and evaluate the y-intercept of your trained Machine learning model by accessing the .intercept_ attribute., i.e., print(lm.intercept_)",Use sklearn to Evaluate a trained machine learning model,"Course: Intro to Data Analysis, Unit: Linear Regression, Lesson: Model Evaluation
"
